internet,gas,washing_machine,air_conditioner,refrigerator,elevator,microwave,breakfast,toilet,heating,parking,station,move_in_date,sink,type,si,sgg,emd,ro,detail,rent,lat,lng,introduce,address
1,1,1,1,1,1,1,0,1,0,0,1,1,1,OR,서울,성동구,empty,왕십리로14길 28,2,70,37.548342,127.046468,"뚝섬역 도보 3분, 컨디션 좋은 풀옵션 원룸",서울 성동구 성수동1가 7-3
1,1,1,1,1,1,1,1,1,0,1,0,1,1,VL,서울,성동구,empty,독서당로59가길 27,2,35,37.552341,127.029985,올수리 깨끗함,서울 성동구 응봉동 265-96
1,1,1,1,1,1,1,0,1,0,0,1,1,1,OR,서울,성동구,empty,용답25길 4,1,50,37.561471,127.054653,풀옵션의 깔끔한 분리형 원룸 더블 역세권으로 교통편리,서울 성동구 용답동 24-13
1,1,1,1,1,1,1,0,1,0,0,1,1,1,OR,서울,성동구,empty,용답25길 4,2,25,37.561471,127.054653,풀옵션의 깔끔한 분리형 원룸 더블 역세권으로 교통편리,서울 성동구 용답동 24-13
1,1,1,1,1,1,1,0,1,0,1,0,1,1,DDDGG,서울,성동구,empty,성덕정17길 4,1,60,37.537809,127.055521,투룸. 풀옵션. 수리된. 컨디션우수,서울 성동구 성수동2가 566-27
1,1,1,1,1,1,1,0,1,0,0,1,1,1,DDDGG,서울,성동구,성수동2가,empty,1,60,37.544543,127.050563,"내부컨디션 깔끔한 분리형 원룸, 풀옵션",서울 성동구 성수동2가 301-27
1,1,1,1,1,1,1,0,1,0,0,1,1,1,DDDGG,서울,성동구,empty,왕십리로14길 28,2,70,37.548342,127.046468,뚝섬역 초역세권 분리형 원룸 풀옵션,서울 성동구 성수동1가 7-3
1,1,1,1,1,1,1,0,1,0,0,1,1,1,DDDGG,서울,성동구,성수동1가,empty,3,55,37.551234,127.045418,"뚝섬역7분거리, 3층, 오픈형원룸, 풀옵션,4월14일이후,직장인,한양대생",서울 성동구 성수동1가 656-342
1,1,1,1,1,1,1,0,1,0,1,1,1,1,OR,서울,성동구,empty,성수일로1길 16,2,70,37.542166,127.047105,서울숲 맞은편 새촌 저렴한 월세 분당선 이용편리 더블역세권,서울 성동구 성수동1가 656-1010
1,1,1,1,1,1,1,0,1,0,0,1,1,1,DDDGG,서울,성동구,empty,왕십리로14길 26,B1,55,37.548281,127.046287,"뚝섬역 초역세권, 수리되어 깨끗한집, 방2개, 도배장판완료",서울 성동구 성수동1가 656-827
1,1,1,1,1,1,1,0,1,0,0,1,1,1,DDDGG,서울,성동구,성수동1가,empty,3,55,37.551234,127.045418,내부 넓고 깨끗한 풀옵션 원룸 ,서울 성동구 성수동1가 656-342
1,1,1,1,1,1,1,0,1,0,0,0,1,1,OR,서울,성동구,empty,둘레9길 10,3,50,37.536861,127.050765,"성수동 저렴한 월세, 넓직한 원룸, 주방 분리형 원룸",서울 성동구 성수동2가 396
1,1,1,1,1,1,1,0,1,0,0,1,1,1,OR,서울,성동구,성수동1가,empty,3,55,37.551234,127.045418,내부 넓고 깨끗한 풀옵션 원룸 밝은 집,서울 성동구 성수동1가 656-342
1,1,1,1,1,1,1,0,1,0,0,1,1,1,OR,서울,성동구,empty,마조로12길 1,B1,60,37.562444,127.042052,채광되는 미니멀 투룸,서울 성동구 마장동 388-25
1,1,1,1,1,1,1,1,1,0,1,0,1,1,VL,서울,성동구,empty,독서당로59가길 27,B1,35,37.552341,127.029985,올수리 깨끗,서울 성동구 응봉동 265-96
1,1,1,1,1,1,1,0,1,0,0,0,1,1,OR,서울,성동구,empty,둘레15길 24,4,55,37.536906,127.055638,"사진O 성수동 엘베O 풀옵션 원룸형,실5",서울 성동구 성수동2가 576-2
1,1,1,1,1,1,1,1,1,0,0,1,1,1,DDDGG,서울,성동구,empty,살곶이4길 8,2,55,37.556268,127.041601," 한양대정문 도보 3분, 리모델링 컨디션 좋음, 주택가 위치 조용합니다.",서울 성동구 행당동 70-23
1,1,1,1,1,1,1,1,1,0,0,1,1,1,OR,서울,성동구,empty,마조로1길 2,4,45,37.558331,127.040211,왕십리역 역세권 한양대인접 풀옵션원룸 즉시입주,서울 성동구 행당동 20-17
1,1,1,1,1,1,1,0,1,0,0,0,1,1,DDDGG,서울,성동구,empty,성덕정17길 4,1,60,37.537809,127.055521,즉시입주. 수리된 2룸 월세,서울 성동구 성수동2가 566-27
