hidx,favorite,recentView,attribute.created_device,attribute.naverVerification,attribute.safeDirectTrade,attribute.withoutFee,attribute.withoutFeeDiscount,attribute.isZero,attribute.isRentalManagement,attribute.recommend,attribute.isFa,attribute.verificationType,attribute.isReported,attribute.isMyReport,attribute.smartContract,attribute.userType,attribute.status_code,attribute.isOwnerConfirm,attribute.naverUpdatedAt,attribute.peterVerified,attribute.peterVerifiedCheckVacancyDate,attribute.peterOwnerCheckedAt,attribute.is_recommend,attribute.is_jjin,info.temp_address,info.vaddr,info.subject,info.room_count,info.bedroom_count,info.thumbnail,info.created_at,info.live_start_date,info.is_octop,info.is_half_underground,info.is_multilayer,info.supplied_size,info.supplied_pyeong,info.real_size,info.real_pyeong,info.naver_map,info.livingroom_text,type.contract_type,type.trade_type,type.building_form,type.building_type,type.building_type_text,type.building_code,type.isCafe,type.fa3Code,price.monthly_fee,price.deposit,price.maintenance_cost,floor.target,floor.total,floor.floor_type,floor.floor_text,floor.floor_text_detail,location.coordinate.latitude,location.coordinate.longitude,location.address.sido,location.address.sigungu,location.address.dong,location.address.aptName,location.address.text,additional_options.is_new_building,additional_options.have_parking_lot,additional_options.is_full_option,additional_options.have_elevator,additional_options.support_loan,additional_options.allow_pet,additional_options.is_main_road,images.S
15153201,False,False,web,True,False,True,100,True,False,False,,D2,0,0,0,agent,0103,,2024-02-15 09:47:01,False,,,False,False,,0,ㄴㄴ신림역 6번출구 도보 3분 깔끔신축분리형원룸,1,1,https://img.peterpanz.com/photo/20220609/13061948/62a19d325eb2d_thumb.jpg,2024-02-14 18:52:27,2024-02-15 00:00:00,0,0,0,6.0,1.81,6.0,1.81,1,분리형,월세,withoutFee,원룸,빌라/주택,원룸,1162010200114320122013312,False,0,400000,5000000,90000,3,8,1,3층,3층/8층,37.4855057473456,126.927943724331,서울특별시,관악구,신림동,,관악구 신림동,0,0,0,0,0,0,0,"[{'id': 288008397, 'path': 'https://img.peterpanz.com/photo/20220609/13061948/62a19d325eb2d_thumb.jpg', 'order': 1}, {'id': 288008400, 'path': 'https://img.peterpanz.com/photo/20220609/13061948/62a19d33ce899_thumb.jpg', 'order': 2}, {'id': 288008403, 'path': 'https://img.peterpanz.com/photo/20220609/13061948/62a19d3349368_thumb.jpg', 'order': 3}, {'id': 288008406, 'path': 'https://img.peterpanz.com/photo/20220609/13061948/62a19d32e1ff7_thumb.jpg', 'order': 4}, {'id': 288008409, 'path': 'https://img.peterpanz.com/photo/20220609/13061948/62a19d34589a9_thumb.jpg', 'order': 5}, {'id': 288008412, 'path': 'https://img.peterpanz.com/photo/20220609/13061948/62a19d34c9d02_thumb.jpg', 'order': 6}, {'id': 288008415, 'path': 'https://img.peterpanz.com/photo/20220609/13061948/62a19d3576fd5_thumb.jpg', 'order': 7}]"
15160597,False,False,web,True,False,True,100,True,False,False,,D2,0,0,0,agent,0103,,2024-02-16 11:54:01,False,,,False,False,,0,대방역 인근 화이트톤 가성비 풀옵션 원룸,1,1,https://img.peterpanz.com/photo/20230814/14515628/64d9a65d5f81a_thumb.jpg,2024-02-16 11:33:57,2024-02-16 00:00:00,0,0,0,23.14,6.99,19.84,6.0,1,오픈형,월세,withoutFee,원룸,빌라/주택,원룸,1156013200104490026000002,False,0,500000,5000000,80000,3,6,1,3층,3층/6층,37.5128071845749,126.922476720453,서울특별시,영등포구,신길동,,영등포구 신길동,0,0,0,0,0,0,0,"[{'id': 288223708, 'path': 'https://img.peterpanz.com/photo/20230814/14515628/64d9a65d5f81a_thumb.jpg', 'order': 1}, {'id': 288223712, 'path': 'https://img.peterpanz.com/photo/20230814/14515628/64d9a65de045f_thumb.jpg', 'order': 2}, {'id': 288223716, 'path': 'https://img.peterpanz.com/photo/20230814/14515628/64d9a65e57419_thumb.jpg', 'order': 3}, {'id': 288223720, 'path': 'https://img.peterpanz.com/photo/20230814/14515628/64d9a65ed387f_thumb.jpg', 'order': 4}, {'id': 288223723, 'path': 'https://img.peterpanz.com/photo/20230814/14515628/64d9a65f4a1f5_thumb.jpg', 'order': 5}, {'id': 288223726, 'path': 'https://img.peterpanz.com/photo/20230814/14515628/64d9a65fb3b02_thumb.jpg', 'order': 6}, {'id': 288223729, 'path': 'https://img.peterpanz.com/photo/20230814/14515628/64d9a66032d05_thumb.jpg', 'order': 7}, {'id': 288223732, 'path': 'https://img.peterpanz.com/photo/20230814/14515628/64d9a660ada69_thumb.jpg', 'order': 8}]"
15183065,False,False,web,False,False,False,0,False,False,False,,,0,0,0,agent,0103,,,False,,,False,False,,0,1.5룸 채광좋은방 찾으시는분들 구경하러오세요!!,2,2,https://img.peterpanz.com/photo/20240221/15183065/65d5802423350_thumb.jpg,2024-02-21 13:46:28,2024-02-21 13:46:40,0,0,0,26.45,8.0,23.14,6.99,0,오픈형,월세,agency,단독,빌라/주택,단독,1162010100100560002026456,False,0,490000,20000000,80000,3,4,2,고층,고층/4층,37.483634,126.9527029,서울특별시,관악구,봉천동,,관악구 봉천동,0,0,0,0,0,0,0,"[{'id': 288864392, 'path': 'https://img.peterpanz.com/photo/20240221/15183065/65d5802423350_thumb.jpg', 'order': 1}, {'id': 288864395, 'path': 'https://img.peterpanz.com/photo/20240221/15183065/65d580248e0ec_thumb.jpg', 'order': 2}, {'id': 288864398, 'path': 'https://img.peterpanz.com/photo/20240221/15183065/65d58024f08b5_thumb.jpg', 'order': 3}, {'id': 288864401, 'path': 'https://img.peterpanz.com/photo/20240221/15183065/65d580255d50a_thumb.jpg', 'order': 4}, {'id': 288864404, 'path': 'https://img.peterpanz.com/photo/20240221/15183065/65d58025a930a_thumb.jpg', 'order': 5}, {'id': 288864407, 'path': 'https://img.peterpanz.com/photo/20240221/15183065/65d580261d8e8_thumb.jpg', 'order': 6}, {'id': 288864410, 'path': 'https://img.peterpanz.com/photo/20240221/15183065/65d580266a66b_thumb.jpg', 'order': 7}]"
15141938,False,False,web,True,False,True,30,True,False,False,,D2,0,0,0,agent,0103,,2024-02-13 11:16:03,False,,,False,False,,0, 리모델링 풀빌트인 원룸 ,1,1,https://img.peterpanz.com/photo/20230711/14403474/64ad4fc449bb9_thumb.jpg,2024-02-12 21:13:44,2024-02-13 00:00:00,0,0,0,23.14,6.99,18.18,5.49,1,분리형,월세,withoutFee,원룸,빌라/주택,원룸,1154510100102340021014936,False,0,350000,20000000,70000,6,7,1,6층,6층/7층,37.472354427433,126.893172636589,서울특별시,금천구,가산동,,금천구 가산동,0,0,0,0,0,0,0,"[{'id': 287660953, 'path': 'https://img.peterpanz.com/photo/20230711/14403474/64ad4fc449bb9_thumb.jpg', 'order': 1}, {'id': 287660957, 'path': 'https://img.peterpanz.com/photo/20230711/14403474/64ad4fc2eed1b_thumb.jpg', 'order': 2}, {'id': 287660961, 'path': 'https://img.peterpanz.com/photo/20230711/14403474/64ad4fc246003_thumb.jpg', 'order': 3}, {'id': 287660965, 'path': 'https://img.peterpanz.com/photo/20230711/14403474/64ad4fc38dbcc_thumb.jpg', 'order': 4}, {'id': 287660968, 'path': 'https://img.peterpanz.com/photo/20230711/14403474/64ad4fc4f3dbc_thumb.jpg', 'order': 5}, {'id': 287660971, 'path': 'https://img.peterpanz.com/photo/20230711/14403474/64ad4fc58fb6d_thumb.jpg', 'order': 6}, {'id': 287660974, 'path': 'https://img.peterpanz.com/photo/20230711/14403474/64ad4fc62d45f_thumb.jpg', 'order': 7}, {'id': 287660977, 'path': 'https://img.peterpanz.com/photo/20230711/14403474/64ad4fc6c8039_thumb.jpg', 'order': 8}, {'id': 287660980, 'path': 'https://img.peterpanz.com/photo/20230711/14403474/64ad4fc77e23a_thumb.jpg', 'order': 9}]"
15243669,False,False,web,True,False,True,100,True,False,False,,D2,0,0,0,agent,0103,,2024-03-07 11:41:03,False,,,False,False,,0,초이스중개사가직접확인한인계동최고갓성비교통편리,1,1,https://img.peterpanz.com/photo/20231219/14940515/65810340c391d_thumb.jpg,2024-03-07 10:58:14,2024-03-07 00:00:00,0,0,0,26.81,8.1,19.53,5.9,1,오픈형,월세,withoutFee,원룸,빌라/주택,원룸,4111514100109740008060745,False,0,520000,5000000,70000,5,6,1,5층,5층/6층,37.2692529,127.0248603,경기도,수원시 팔달구,인계동,,수원시 팔달구 인계동,0,0,0,0,0,0,0,"[{'id': 290575910, 'path': 'https://img.peterpanz.com/photo/20231219/14940515/65810340c391d_thumb.jpg', 'order': 1}, {'id': 290575913, 'path': 'https://img.peterpanz.com/photo/20230730/14463490/64d47178c0dee_thumb.jpg', 'order': 2}, {'id': 290575916, 'path': 'https://img.peterpanz.com/photo/20230730/14463490/64d471794a985_thumb.jpg', 'order': 3}, {'id': 290575919, 'path': 'https://img.peterpanz.com/photo/20230730/14463490/64d4717b64191_thumb.jpg', 'order': 4}, {'id': 290575922, 'path': 'https://img.peterpanz.com/photo/20231219/14940515/658103413f24b_thumb.jpg', 'order': 5}, {'id': 290575925, 'path': 'https://img.peterpanz.com/photo/20240204/15117820/65bf2a35e11da_thumb.jpg', 'order': 6}]"
15228491,False,False,web,True,False,True,100,True,False,False,,D2,0,0,0,agent,0103,,2024-03-04 13:34:07,False,,,False,False,,0,ICK 확인실매물꿀매물고객만족,1,1,https://img.peterpanz.com/photo/20240202/15109073/65bc37996810f_thumb.jpg,2024-03-04 12:37:14,2024-03-04 00:00:00,0,0,0,28.5,8.62,21.23,6.42,1,오픈형,월세,withoutFee,원룸,빌라/주택,원룸,1154510100103450019015153,False,0,550000,5000000,70000,12,13,2,고층,고층/13층,37.4723348896328,126.884105207709,서울특별시,금천구,가산동,,금천구 가산동,0,0,0,0,0,0,0,"[{'id': 290145552, 'path': 'https://img.peterpanz.com/photo/20240202/15109073/65bc37996810f_thumb.jpg', 'order': 1}, {'id': 290145555, 'path': 'https://img.peterpanz.com/photo/20240202/15109073/65bc3799eb47a_thumb.jpg', 'order': 2}, {'id': 290145558, 'path': 'https://img.peterpanz.com/photo/20240202/15109073/65bc379a5f1b7_thumb.jpg', 'order': 3}, {'id': 290145561, 'path': 'https://img.peterpanz.com/photo/20240202/15109073/65bc379ac9a77_thumb.jpg', 'order': 4}, {'id': 290145564, 'path': 'https://img.peterpanz.com/photo/20240202/15109073/65bc379b49ccb_thumb.jpg', 'order': 5}, {'id': 290145567, 'path': 'https://img.peterpanz.com/photo/20240202/15109073/65bc379bbc90f_thumb.jpg', 'order': 6}, {'id': 290145570, 'path': 'https://img.peterpanz.com/photo/20240202/15109073/65bc379c429f1_thumb.jpg', 'order': 7}, {'id': 290145573, 'path': 'https://img.peterpanz.com/photo/20240202/15109073/65bc379cdbd4f_thumb.jpg', 'order': 8}]"
15228729,False,False,web,False,False,False,0,False,False,False,,,0,0,0,user,0103,,,False,,,False,False,,0,"노량진학원가원룸(노량진역 3번출구에서 도보3분,학원가2분,20036)",1,1,https://img.peterpanz.com/photo/20240304/15228729/65e547a8bc19e_thumb.jpg,2024-03-04 13:01:44,2024-03-04 13:02:00,0,1,0,16.53,5.0,16.53,5.0,1,오픈형,월세,direct,원룸,빌라/주택,원룸,1159010100101270003032770,False,0,360000,2000000,50000,-1,4,1,반지층,반지층/4층,37.5124012,126.946188,서울특별시,동작구,노량진동,,동작구 노량진동,0,0,0,0,0,0,0,"[{'id': 290153308, 'path': 'https://img.peterpanz.com/photo/20240304/15228729/65e547a8bc19e_thumb.jpg', 'order': 1}, {'id': 290153311, 'path': 'https://img.peterpanz.com/photo/20240304/15228729/65e547a918f8f_thumb.jpg', 'order': 2}, {'id': 290153314, 'path': 'https://img.peterpanz.com/photo/20240304/15228729/65e547a96d049_thumb.jpg', 'order': 3}, {'id': 290153317, 'path': 'https://img.peterpanz.com/photo/20240304/15228729/65e547a9c63ce_thumb.jpg', 'order': 4}, {'id': 290153320, 'path': 'https://img.peterpanz.com/photo/20240304/15228729/65e547aa1b9d3_thumb.jpg', 'order': 5}, {'id': 290153323, 'path': 'https://img.peterpanz.com/photo/20240304/15228729/65e547aa6770c_thumb.jpg', 'order': 6}, {'id': 290153326, 'path': 'https://img.peterpanz.com/photo/20240304/15228729/65e547aaba9a3_thumb.jpg', 'order': 7}, {'id': 290153329, 'path': 'https://img.peterpanz.com/photo/20240304/15228729/65e547ab109a6_thumb.jpg', 'order': 8}]"
15251123,False,False,web,False,False,True,30,True,False,False,,,0,0,0,agent,0103,,,False,,,False,False,,0,대치동 가성비 최고 컨디션 최고 원룸 ,1,1,https://img.peterpanz.com/photo/20240308/15251123/65eabe7925427_thumb.jpg,2024-03-08 16:30:01,2024-03-08 16:30:16,0,1,0,42.68,12.9,34.14,10.32,1,분리형,월세,withoutFee,다가구,빌라/주택,다가구,1168010600109310008013418,False,0,600000,10000000,0,-1,3,1,반지층,반지층/3층,37.5005718,127.0592459,서울특별시,강남구,대치동,,강남구 대치동,0,0,0,0,0,0,0,"[{'id': 290797477, 'path': 'https://img.peterpanz.com/photo/20240308/15251123/65eabe7925427_thumb.jpg', 'order': 1}, {'id': 290797480, 'path': 'https://img.peterpanz.com/photo/20240308/15251123/65eabe797fa4a_thumb.jpg', 'order': 2}, {'id': 290797483, 'path': 'https://img.peterpanz.com/photo/20240308/15251123/65eabe79be940_thumb.jpg', 'order': 3}]"
15246690,False,False,web,False,False,False,0,False,False,False,,,0,0,0,agent,0103,,,False,,,False,False,,0,G양창(창문2개)G분리형G큰방G신축G호텔화장실G풀옵션G이쁜원룸,1,1,https://img.peterpanz.com/photo/20240307/15246690/65e97d65ca860_thumb.jpg,2024-03-07 17:40:05,2024-03-07 17:40:22,0,0,0,26.45,8.0,23.14,6.99,1,분리형,월세,agency,단독,빌라/주택,단독,1162010200100940060017510,False,0,330000,50000000,100000,4,6,1,4층,4층/6층,37.4762861,126.937675,서울특별시,관악구,신림동,,관악구 신림동,0,0,0,0,0,0,0,"[{'id': 290672168, 'path': 'https://img.peterpanz.com/photo/20240307/15246690/65e97d65ca860_thumb.jpg', 'order': 1}, {'id': 290672171, 'path': 'https://img.peterpanz.com/photo/20240307/15246690/65e97d6666020_thumb.jpg', 'order': 2}, {'id': 290672174, 'path': 'https://img.peterpanz.com/photo/20240307/15246690/65e97d66e66aa_thumb.jpg', 'order': 3}, {'id': 290672177, 'path': 'https://img.peterpanz.com/photo/20240307/15246690/65e97d677d087_thumb.jpg', 'order': 4}, {'id': 290672180, 'path': 'https://img.peterpanz.com/photo/20240307/15246690/65e97d6800b17_thumb.jpg', 'order': 5}, {'id': 290672183, 'path': 'https://img.peterpanz.com/photo/20240307/15246690/65e97d68827ba_thumb.jpg', 'order': 6}]"
15189334,False,False,android,False,False,False,0,False,False,False,,,0,0,0,user,0103,,,False,,,False,False,,0,서울대학교 도보 5분,1,1,https://img.peterpanz.com/photo/20240222/15189334/48d97054b8a56e14649b18b2ca0aad2e_thumb.jpg,2024-02-22 17:52:21,2024-02-22 00:00:00,0,0,0,13.22,3.99,13.22,3.99,1,오픈형,월세,direct,원룸,빌라/주택,원룸,1162010200101280012018698,False,0,500000,5000000,0,2,4,1,2층,2층/4층,37.471433184501,126.93904291899,서울특별시,관악구,신림동,,관악구 신림동,0,0,0,0,0,0,0,"[{'id': 289058088, 'path': 'https://img.peterpanz.com/photo/20240222/15189334/48d97054b8a56e14649b18b2ca0aad2e_thumb.jpg', 'order': 1}, {'id': 289058091, 'path': 'https://img.peterpanz.com/photo/20240222/15189334/beb9a3a9465cfb55f5e54a75a072f3a0_thumb.jpg', 'order': 2}, {'id': 289058094, 'path': 'https://img.peterpanz.com/photo/20240222/15189334/177aeaa6a5bd3e6116c560f90b39570d_thumb.jpg', 'order': 3}]"
