type,floor,rent,spc1,spc2,lat,lng,toilet,station,parking,internet,gas,washing_machine,air_conditioner,refrigerator,elevator,microwave,breakfast,heating,move_in_date,sink,introduce
OR,2,70,25,23,37.548342,127.046468,1,1,0,1,1,1,1,1,1,1,0,0,1,1,"뚝섬역 도보 3분, 컨디션 좋은 풀옵션 원룸"
VL,2,35,30,22.84,37.552341,127.029985,1,0,1,1,1,1,1,1,1,1,1,0,1,1,올수리 깨끗함
OR,1,50,50,33,37.561471,127.054653,1,1,0,1,1,1,1,1,1,1,0,0,1,1,풀옵션의 깔끔한 분리형 원룸 더블 역세권으로 교통편리
OR,2,25,50,23.1,37.561471,127.054653,1,1,0,1,1,1,1,1,1,1,0,0,1,1,풀옵션의 깔끔한 분리형 원룸 더블 역세권으로 교통편리
DDDGG,1,60,37.35,37,37.537809,127.055521,1,0,1,1,1,1,1,1,1,1,0,0,1,1,투룸. 풀옵션. 수리된. 컨디션우수
DDDGG,1,60,23,20,37.544543,127.050563,1,1,0,1,1,1,1,1,1,1,0,0,1,1,"내부컨디션 깔끔한 분리형 원룸, 풀옵션"
DDDGG,2,70,23,23,37.548342,127.046468,1,1,0,1,1,1,1,1,1,1,0,0,1,1,뚝섬역 초역세권 분리형 원룸 풀옵션
DDDGG,3,55,19,19,37.551234,127.045418,1,1,0,1,1,1,1,1,1,1,0,0,1,1,"뚝섬역7분거리, 3층, 오픈형원룸, 풀옵션,4월14일이후,직장인,한양대생"
OR,2,70,20,20,37.542166,127.047105,1,1,1,1,1,1,1,1,1,1,0,0,1,1,서울숲 맞은편 새촌 저렴한 월세 분당선 이용편리 더블역세권
DDDGG,B1,55,40,40,37.548281,127.046287,1,1,0,1,1,1,1,1,1,1,0,0,1,1,"뚝섬역 초역세권, 수리되어 깨끗한집, 방2개, 도배장판완료"
DDDGG,3,55,19.83,19,37.551234,127.045418,1,1,0,1,1,1,1,1,1,1,0,0,1,1,내부 넓고 깨끗한 풀옵션 원룸 
OR,3,50,23.14,23,37.536861,127.050765,1,0,0,1,1,1,1,1,1,1,0,0,1,1,"성수동 저렴한 월세, 넓직한 원룸, 주방 분리형 원룸"
OR,3,55,20,20,37.551234,127.045418,1,1,0,1,1,1,1,1,1,1,0,0,1,1,내부 넓고 깨끗한 풀옵션 원룸 밝은 집
